word,translation,pos,category,level,frequency,source
postcode,邮编,noun,listening_accommodation,5,75,IELTS_Listening
meter,米/仪表,noun,listening_accommodation,4,80,IELTS_Listening
academic,学术的,adjective,listening_education,6,90,IELTS_Listening
assignment,作业,noun,listening_education,6,85,IELTS_Listening
bachelor,学士,noun,listening_education,6,75,IELTS_Listening
campus,校园,noun,listening_education,6,80,IELTS_Listening
certificate,证书,noun,listening_education,6,75,IELTS_Listening
classroom,教室,noun,listening_education,5,85,IELTS_Listening
course,课程,noun,listening_education,4,90,IELTS_Listening
curriculum,课程,noun,listening_education,7,70,IELTS_Listening
degree,学位,noun,listening_education,5,85,IELTS_Listening
diploma,文凭,noun,listening_education,6,75,IELTS_Listening
dissertation,论文,noun,listening_education,8,70,IELTS_Listening
doctorate,博士学位,noun,listening_education,7,65,IELTS_Listening
enroll,注册,verb,listening_education,6,75,IELTS_Listening
essay,论文,noun,listening_education,5,80,IELTS_Listening
examination,考试,noun,listening_education,5,85,IELTS_Listening
exam,考试,noun,listening_education,4,90,IELTS_Listening
faculty,院系,noun,listening_education,6,75,IELTS_Listening
freshman,大一新生,noun,listening_education,6,70,IELTS_Listening
grade,成绩,noun,listening_education,4,85,IELTS_Listening
graduation,毕业,noun,listening_education,6,80,IELTS_Listening
homework,家庭作业,noun,listening_education,4,85,IELTS_Listening
instructor,讲师,noun,listening_education,6,75,IELTS_Listening
junior,大三学生,noun,listening_education,6,70,IELTS_Listening
lecture,讲座,noun,listening_education,5,85,IELTS_Listening
lecturer,讲师,noun,listening_education,6,75,IELTS_Listening
library,图书馆,noun,listening_education,4,90,IELTS_Listening
major,专业,noun,listening_education,5,80,IELTS_Listening
master,硕士,noun,listening_education,6,75,IELTS_Listening
matriculation,入学,noun,listening_education,8,60,IELTS_Listening
module,模块,noun,listening_education,6,70,IELTS_Listening
paper,论文,noun,listening_education,4,80,IELTS_Listening
postgraduate,研究生,noun,listening_education,7,70,IELTS_Listening
prerequisite,先决条件,noun,listening_education,7,65,IELTS_Listening
professor,教授,noun,listening_education,6,80,IELTS_Listening
project,项目,noun,listening_education,4,85,IELTS_Listening
quiz,小测验,noun,listening_education,5,70,IELTS_Listening
reading,阅读,noun,listening_education,4,85,IELTS_Listening
research,研究,noun/verb,listening_education,6,85,IELTS_Listening
scholarship,奖学金,noun,listening_education,6,75,IELTS_Listening
semester,学期,noun,listening_education,6,80,IELTS_Listening
senior,大四学生,noun,listening_education,6,70,IELTS_Listening
seminar,研讨会,noun,listening_education,6,75,IELTS_Listening
sophomore,大二学生,noun,listening_education,7,65,IELTS_Listening
syllabus,大纲,noun,listening_education,7,70,IELTS_Listening
term,学期,noun,listening_education,4,85,IELTS_Listening
textbook,教科书,noun,listening_education,5,80,IELTS_Listening
thesis,论文,noun,listening_education,7,70,IELTS_Listening
tuition,学费,noun,listening_education,6,75,IELTS_Listening
tutorial,辅导课,noun,listening_education,6,70,IELTS_Listening
undergraduate,本科生,noun,listening_education,7,70,IELTS_Listening
university,大学,noun,listening_education,5,90,IELTS_Listening
workshop,研讨会,noun,listening_education,6,75,IELTS_Listening
auditorium,礼堂,noun,listening_education,7,60,IELTS_Listening
board,木板/董事会,noun,listening_education,3,85,IELTS_Listening
chalk,粉笔,noun,listening_education,4,65,IELTS_Listening
college,学院,noun,listening_education,5,85,IELTS_Listening
computing,计算,noun,listening_education,6,70,IELTS_Listening
airport,机场,noun,listening_travel_transport,5,90,IELTS_Listening
airline,航空公司,noun,listening_travel_transport,6,80,IELTS_Listening
arrival,到达,noun,listening_travel_transport,5,85,IELTS_Listening
baggage,行李,noun,listening_travel_transport,5,80,IELTS_Listening
boarding pass,登机牌,noun,listening_travel_transport,5,75,IELTS_Listening
booking,预订,noun,listening_travel_transport,5,80,IELTS_Listening
bus,公共汽车,noun,listening_travel_transport,3,90,IELTS_Listening
cab,出租车,noun,listening_travel_transport,4,75,IELTS_Listening
cancellation,取消,noun,listening_travel_transport,6,70,IELTS_Listening
carry-on,随身行李,noun,listening_travel_transport,6,70,IELTS_Listening
check-in,办理登机手续,noun,listening_travel_transport,5,80,IELTS_Listening
coach,长途汽车,noun,listening_travel_transport,4,75,IELTS_Listening
conductor,售票员,noun,listening_travel_transport,5,70,IELTS_Listening
connection,连接/转乘,noun,listening_travel_transport,5,75,IELTS_Listening
customs,海关,noun,listening_travel_transport,5,75,IELTS_Listening
delay,延误,noun/verb,listening_travel_transport,5,80,IELTS_Listening
depart,离开,verb,listening_travel_transport,5,80,IELTS_Listening
departure,出发,noun,listening_travel_transport,5,85,IELTS_Listening
destination,目的地,noun,listening_travel_transport,6,80,IELTS_Listening
elevator,电梯,noun,listening_travel_transport,4,75,IELTS_Listening
escalator,自动扶梯,noun,listening_travel_transport,6,70,IELTS_Listening
excursion,短途旅行,noun,listening_travel_transport,6,65,IELTS_Listening
ferry,渡轮,noun,listening_travel_transport,5,70,IELTS_Listening
flight,航班,noun,listening_travel_transport,4,90,IELTS_Listening
gate,登机口,noun,listening_travel_transport,4,80,IELTS_Listening
guidebook,指南,noun,listening_travel_transport,5,70,IELTS_Listening
hitchhike,搭便车,verb,listening_travel_transport,6,65,IELTS_Listening
immigration,移民/入境,noun,listening_travel_transport,6,75,IELTS_Listening
itinerary,行程,noun,listening_travel_transport,7,65,IELTS_Listening
landing,着陆,noun,listening_travel_transport,5,75,IELTS_Listening
lounge,休息室,noun,listening_travel_transport,5,70,IELTS_Listening
luggage,行李,noun,listening_travel_transport,4,85,IELTS_Listening
metro,地铁,noun,listening_travel_transport,4,75,IELTS_Listening
platform,站台,noun,listening_travel_transport,5,80,IELTS_Listening
porter,搬运工,noun,listening_travel_transport,5,65,IELTS_Listening
reservation,预订,noun,listening_travel_transport,6,80,IELTS_Listening
return ticket,往返票,noun,listening_travel_transport,5,75,IELTS_Listening
round trip,往返,noun,listening_travel_transport,5,75,IELTS_Listening
runway,跑道,noun,listening_travel_transport,5,70,IELTS_Listening
safety belt,安全带,noun,listening_travel_transport,5,70,IELTS_Listening
schedule,时刻表,noun,listening_travel_transport,6,80,IELTS_Listening
single ticket,单程票,noun,listening_travel_transport,5,70,IELTS_Listening
subway,地铁,noun,listening_travel_transport,4,80,IELTS_Listening
takeoff,起飞,noun,listening_travel_transport,5,75,IELTS_Listening
terminal,航站楼,noun,listening_travel_transport,6,75,IELTS_Listening
ticket,票,noun,listening_travel_transport,4,90,IELTS_Listening
timetable,时刻表,noun,listening_travel_transport,5,75,IELTS_Listening
tour,旅行,noun,listening_travel_transport,4,85,IELTS_Listening
tourist,游客,noun,listening_travel_transport,4,85,IELTS_Listening
traffic,交通,noun,listening_travel_transport,4,90,IELTS_Listening
train,火车,noun,listening_travel_transport,4,90,IELTS_Listening
tram,有轨电车,noun,listening_travel_transport,4,70,IELTS_Listening
transfer,转乘,noun,listening_travel_transport,6,75,IELTS_Listening
transit,过境,noun,listening_travel_transport,6,70,IELTS_Listening
transport,运输,noun/verb,listening_travel_transport,5,85,IELTS_Listening
transportation,交通,noun,listening_travel_transport,6,80,IELTS_Listening
travel,旅行,noun/verb,listening_travel_transport,4,90,IELTS_Listening
trolley,手推车,noun,listening_travel_transport,5,65,IELTS_Listening
tunnel,隧道,noun,listening_travel_transport,5,70,IELTS_Listening
underground,地铁,noun,listening_travel_transport,5,75,IELTS_Listening
vehicle,车辆,noun,listening_travel_transport,5,80,IELTS_Listening
visa,签证,noun,listening_travel_transport,5,75,IELTS_Listening
voyage,航行,noun,listening_travel_transport,6,65,IELTS_Listening
waiting room,候车室,noun,listening_travel_transport,5,70,IELTS_Listening
youth hostel,青年旅舍,noun,listening_travel_transport,5,65,IELTS_Listening
allergy,过敏,noun,listening_medical,6,70,IELTS_Listening
ambulance,救护车,noun,listening_medical,5,75,IELTS_Listening
appointment,预约,noun,listening_medical,5,80,IELTS_Listening
aspirin,阿司匹林,noun,listening_medical,5,70,IELTS_Listening
blood pressure,血压,noun,listening_medical,5,75,IELTS_Listening
capsule,胶囊,noun,listening_medical,6,65,IELTS_Listening
chemist,药剂师,noun,listening_medical,5,70,IELTS_Listening
clinic,诊所,noun,listening_medical,5,75,IELTS_Listening
cough,咳嗽,noun/verb,listening_medical,4,80,IELTS_Listening
dentist,牙医,noun,listening_medical,5,75,IELTS_Listening
diagnosis,诊断,noun,listening_medical,7,70,IELTS_Listening
diet,饮食,noun,listening_medical,4,80,IELTS_Listening
dosage,剂量,noun,listening_medical,6,65,IELTS_Listening
dose,剂量,noun,listening_medical,5,70,IELTS_Listening
emergency,紧急情况,noun,listening_medical,6,80,IELTS_Listening
exercise,锻炼,noun/verb,listening_medical,4,90,IELTS_Listening
fever,发烧,noun,listening_medical,4,80,IELTS_Listening
flu,流感,noun,listening_medical,4,75,IELTS_Listening
headache,头痛,noun,listening_medical,4,80,IELTS_Listening
health,健康,noun,listening_medical,4,90,IELTS_Listening
heart attack,心脏病发作,noun,listening_medical,5,70,IELTS_Listening
hospital,医院,noun,listening_medical,4,90,IELTS_Listening
illness,疾病,noun,listening_medical,5,80,IELTS_Listening
immune,免疫的,adjective,listening_medical,6,70,IELTS_Listening
infection,感染,noun,listening_medical,6,75,IELTS_Listening
injury,伤害,noun,listening_medical,5,80,IELTS_Listening
insomnia,失眠,noun,listening_medical,7,65,IELTS_Listening
medicine,药,noun,listening_medical,4,85,IELTS_Listening
nausea,恶心,noun,listening_medical,6,65,IELTS_Listening
nurse,护士,noun,listening_medical,4,80,IELTS_Listening
operation,手术,noun,listening_medical,5,75,IELTS_Listening
pain,疼痛,noun,listening_medical,4,85,IELTS_Listening
painkiller,止痛药,noun,listening_medical,6,70,IELTS_Listening
patient,病人,noun,listening_medical,4,85,IELTS_Listening
pharmacy,药房,noun,listening_medical,6,75,IELTS_Listening
physician,医生,noun,listening_medical,6,75,IELTS_Listening
pill,药片,noun,listening_medical,4,75,IELTS_Listening
prescription,处方,noun,listening_medical,6,75,IELTS_Listening
receptionist,接待员,noun,listening_medical,6,70,IELTS_Listening
recovery,康复,noun,listening_medical,6,70,IELTS_Listening
side effect,副作用,noun,listening_medical,5,70,IELTS_Listening
stomachache,胃痛,noun,listening_medical,5,70,IELTS_Listening
surgeon,外科医生,noun,listening_medical,6,70,IELTS_Listening
surgery,手术,noun,listening_medical,6,75,IELTS_Listening
symptom,症状,noun,listening_medical,6,75,IELTS_Listening
tablet,药片,noun,listening_medical,4,75,IELTS_Listening
temperature,温度,noun,listening_medical,4,85,IELTS_Listening
treatment,治疗,noun,listening_medical,5,80,IELTS_Listening
vaccination,疫苗接种,noun,listening_medical,7,65,IELTS_Listening
vitamin,维生素,noun,listening_medical,5,75,IELTS_Listening
ward,病房,noun,listening_medical,5,70,IELTS_Listening
X-ray,X光,noun,listening_medical,5,70,IELTS_Listening
antibiotic,抗生素,noun,listening_medical,7,70,IELTS_Listening
appointment,预约,noun,listening_medical,5,80,IELTS_Listening
